City,University,Courses,Entrance Exam,Aplication Fee
Campania,,,,
Naples,University of Naples Federico II,Hospitality Management,English TOLC-E,No Fee
,,,,
,,,,
,,,,
,Parthenope University of Naples,Business Administration,English TOLC-E,No Fee
,,International Business Management,English TOLC-E,
,,,,
,,,,
Caserta,University of Campania Luigi Vanvitelli,Data Analytics,English TOLC-E,No Fee
,,NURSING,In-Person Exam,
,,,,
Emilia-Romagna,,,,
Bologna,University of Bologna,Business and Economics Ð CLABE,SAT,20 Euros
,,Management and Economics Ð CLAME,SAT,20 Euros
,,Economics and Finance - CLEF,SAT,20 Euros
,,Economics of Tourism and Cities,SAT,20 Euros
,,"Economics, Politics and Social Sciences - EPOS",SAT,20 Euros
,,Financial and Business Management,English TOLC-E,50 Euros
,,Genomics,English TOLC-I,20 Euros
,,International Studies,English TOLC-E,20 Euros
,,Building Constructon Engineering,English TOLC-I,20 Euros
,,European Studies,English TOLC-E,20 Euros
,,Biology of human environmental health,English TOLC-E,20 Euros
,,International Studies,English TOLC-E,20 Euros
,,Parmacy,English TOLC-F,20 Euros
,,,,
Parma,University of Parma,DENTAL HYGIENE,English TOLC-F,No Fee
,,Global Studies for Sustainable Local and International Development and Cooperation,No Exam,
,,,,
Friuli Venezia Giulia,,,,
Trieste,University of Trieste,INTERNATIONAL ECONOMICS AND FINANCIAL MARKETS,No Exam,No Fee
,,BUSINESS ADMINISTRATION AND MANAGEMENT,No Exam,
,,,,
Lazio,,,,
Cassino,University of Cassino,"Economics and business (curriculum of ""Economics and business"")",No Exam,No Fee
,,Economics with data science,No Exam,
,,Industrial Engineering Technology,English TOLC-I,
,,,,
Rome,Sapienza University of Rome,Applied Computer Science and Artificial Intelligence,English TOLC-I,"30 Euros
Each 2 Fields"
,,Business Sciences,English TOLC-E,
,,Economics and Finance,English TOLC-E,
,,Classics,English TOLC-E,
,,Global Humanities,English TOLC-E,
,,"MOLECULAR BIOLOGY, MEDICINAL CHEMISTRY AND COMPUTER SCIENCE FOR PHARMACEUTICAL APPLICATIONS",English TOLC-F,
,,Sustainable Building Engineering,English TOLC-I,
,,,,
,"University of Rome II ""Tor Vergata""",Business Administration and Economics,English TOLC-E,30 Euros
,,Global Governance,English TOLC-E,30 Euros
,,Engineering Sciences,Oral Test,30 Euros
